gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000003.15,1222.9881325622741,1.863416222768176,0.5659713332481164,3.2924215650181563,0.0009932859969764524,0.0053705630069359085
ENSG00000000460.17,171.32045175639752,1.3651659427754008,0.3769595613556509,3.62151828134001,0.0002928791045337654,0.0020876645776200155
ENSG00000001460.18,885.3002347332681,-2.2370032287712176,0.6569841506001509,-3.4049576793104204,0.0006617430827632384,0.003916721640368691
ENSG00000002586.20,14760.039797455554,3.0754104325509366,0.460002482983559,6.685638765695217,2.2991953594755222e-11,1.6506905241216829e-09
ENSG00000002933.9,1485.6429785148696,1.475666644731402,0.3964298633915352,3.7223902157793676,0.00019734572284676574,0.0015426296390955684
ENSG00000003137.8,1650.154176735472,-3.219772343801444,0.6211991601400024,-5.183156305420293,2.1816205787876385e-07,5.767057265044417e-06
ENSG00000003436.16,963.9570344964029,4.390767262173194,0.5505254319029624,7.975593874012211,1.5164984010371677e-15,2.294939181389786e-13
ENSG00000003509.16,553.6548128093232,-0.5750395898245898,0.16657156855669406,-3.4522073293010394,0.0005560203085926637,0.003423432926299562
ENSG00000003987.14,921.0083921586817,-2.575293236611456,0.5383657620662453,-4.783538289521778,1.7223606365597394e-06,3.330597879900194e-05
ENSG00000004455.17,2972.913787873784,1.2340119752279086,0.3765428583942395,3.2772151900326336,0.0010483643685161828,0.005607583597045357
ENSG00000004478.8,5395.291859496548,-0.797589858556664,0.20658144833623696,-3.860897795907053,0.00011297115440209467,0.0009965596091668716
ENSG00000004660.15,7633.716412680068,-2.8245459492470015,0.7709347632021379,-3.663793726871296,0.0002485069394603138,0.0018410427470413842
ENSG00000004866.22,1148.5604668005035,0.9984129978287238,0.24311901278975648,4.106684155928716,4.0137947422570266e-05,0.0004379084203004355
ENSG00000005073.6,52.44890173931575,9.255756495973355,2.2960037106355324,4.031246314236735,5.548186057954101e-05,0.0005697731141559649
ENSG00000005075.15,1909.9729004612682,1.5675705995485472,0.3446929664541538,4.547730160188932,5.422760173540977e-06,8.557287099863697e-05
ENSG00000005243.10,442.5793038867916,1.2052320831923542,0.35953381652881733,3.3522078530149964,0.0008016980449169459,0.004546387418090057
ENSG00000005379.17,7487.940258568263,-2.0324102654696246,0.5793257514402173,-3.5082339433677947,0.00045109218314155877,0.002915323929290827
ENSG00000005469.12,1073.4915439151362,1.3149707973223692,0.3759139193614331,3.4980635980602073,0.0004686493636916086,0.003002128859328902
ENSG00000005471.19,156.58939613020286,2.6948024204700913,0.5041788370956178,5.3449336271110095,9.045019135055831e-08,2.7343165428560952e-06
ENSG00000005810.18,6894.191699087614,-2.3861059459852743,0.5079112477257707,-4.69787971160184,2.6287616592512453e-06,4.7589695762089104e-05
ENSG00000005882.12,2622.179286342823,-0.9464082269817518,0.2836011122751273,-3.337110420299133,0.0008465430857030551,0.0047497044573178914
ENSG00000006047.13,81.67951609823346,-1.7795650708100497,0.5254992612274241,-3.3864273503514872,0.000708090221096299,0.004123443095091665
ENSG00000006062.17,714.9873972479792,1.0352402947119597,0.2955097390036414,3.5032357925070046,0.0004596423877395437,0.00295498496385205
ENSG00000006210.7,7666.379827551215,-1.7008740361335373,0.4122287702809006,-4.126043980323181,3.6905672011689154e-05,0.00040826615481678473
ENSG00000006327.14,943.8066054409267,2.347534292457307,0.7284432873960319,3.222672695425671,0.0012700058260599783,0.006475515225549429
ENSG00000006432.15,2265.4895178859583,-2.81782412153288,0.6779275436468056,-4.156526973922367,3.2312203754891436e-05,0.0003663273705999624
ENSG00000006468.14,6608.298347635811,2.6961929240127445,0.5640428638318072,4.780120620082388,1.7519005470807338e-06,3.3756040798793794e-05
ENSG00000006634.8,466.0596651863343,2.3423853892543143,0.34994269173524356,6.6936256837919474,2.177078766325966e-11,1.5722244163142774e-09
ENSG00000006638.13,139.84285088648096,1.7896086978328134,0.3446527466123258,5.192498001026555,2.0749109907912103e-07,5.539333732303551e-06
ENSG00000006740.17,2346.6379633708784,-2.8275083904451694,0.7578334409186122,-3.731041991255742,0.00019068943317824757,0.0015014911609244242
ENSG00000006788.14,7.493520017733011,-3.383174525503732,1.0524173553446363,-3.214670024513079,0.001305945492154478,0.0066211657673941595
ENSG00000007047.15,3421.3123992908245,-1.3313269916234192,0.31291188342239895,-4.254638644791461,2.09386887125475e-05,0.00025731088405560765
ENSG00000007168.14,16579.21255173602,-1.304225059662556,0.21750881544016254,-5.996194025622621,2.0199565991384296e-09,9.786253760969762e-08
ENSG00000007174.18,1063.715985813335,1.7480707720133888,0.4280346446988238,4.083946927341305,4.427714746643489e-05,0.00047366700607758406
ENSG00000007237.19,29973.23289662415,-1.7364453756224605,0.36934771516994896,-4.701383829661611,2.584042614446672e-06,4.693618065094403e-05
ENSG00000007264.15,1560.7644060397117,-2.7181970872882006,0.8215626651015296,-3.3085693919066816,0.0009377394312692127,0.00513355179852492
ENSG00000007350.17,155.50642591388498,3.8502897842892465,0.8543004273718451,4.506950553839954,6.576595144296856e-06,0.00010096561331000285
ENSG00000007384.15,1089.6730003902894,1.340999426947735,0.3796312781208264,3.532373395537053,0.0004118473785204132,0.0027269401351666792
ENSG00000007402.12,675.90088475185,-1.5524552549977242,0.4480457335599318,-3.464948193263096,0.0005303336312954831,0.0033045563326871224
ENSG00000007516.14,7331.98837666041,-1.8892098818964587,0.5227489312378506,-3.6139909027128527,0.00030151964537453716,0.0021345689060325644
ENSG00000007866.22,335.60069188188277,1.5928426388655024,0.3828328179302248,4.160674227139571,3.17309440549769e-05,0.0003612580050756183
